City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Waddan,LY,67.62,clear sky,29.1614,16.139,محل الشريف محمد العايب
372,La Rioja,ES,55.99,scattered clouds,42.25,-2.5,Casa Concejos
375,Birjand,IR,60.8,clear sky,32.8663,59.2211,Birjand Tourist Hotel
380,Garwolin,PL,46.99,broken clouds,51.8975,21.6147,Hotel & Restauracja Sulbin
381,Coihaique,CL,62.6,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
382,Margate,GB,51.01,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
385,Hofn,IS,37.4,light rain,64.2539,-15.2082,Hótel Höfn
386,Grindavik,IS,42.8,moderate rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
387,Sanary-Sur-Mer,FR,60.01,few clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
394,Melito Di Porto Salvo,IT,59.0,broken clouds,37.9222,15.7714,B&B Nereidi
398,Benghazi,LY,61.05,few clouds,32.1167,20.0667,Tibesti Hotel
400,Quime,BO,56.28,light rain,-16.9833,-67.2167,Hostal Colibri
406,Vestmannaeyjar,IS,41.0,drizzle,63.4427,-20.2734,Glamping & Camping
413,Scarborough,GB,51.01,overcast clouds,54.2797,-0.4044,Ambassador
417,Karlskrona,SE,39.2,broken clouds,56.1616,15.5866,First Hotel Statt
420,Sangolqui,EC,59.0,moderate rain,-0.3341,-78.4522,Mansion Samzara Hosteleria
421,Wittmund,DE,44.6,broken clouds,53.5667,7.7833,Hof von Hannover
427,Liverpool,GB,53.6,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
433,Aurdal,NO,43.0,broken clouds,60.9242,9.4159,Aurdal FjordCamping
440,Jumla,NP,44.78,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
451,Kisujszallas,HU,48.2,light rain,47.2167,20.7667,Hotel Kumánia
452,Campobello Di Mazara,IT,59.0,few clouds,37.6358,12.7443,BED AND BREAKFAST CASA VACANZA DA MATI CAMPOBELLO DI MAZARA
456,Manzil Kamil,TN,62.6,scattered clouds,35.6248,10.6673,Boukarra Ali
457,Toledo,ES,63.0,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
458,Krasnoye,UA,39.2,overcast clouds,49.9145,24.6134,Feniks
460,Lusaka,ZM,67.95,light rain,-15.4067,28.2871,InterContinental Lusaka
468,Los Llanos De Aridane,ES,68.0,broken clouds,28.6585,-17.9182,Valle Aridane
473,Santa Cruz De Tenerife,ES,63.0,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
474,Qaqortoq,GL,41.0,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
475,Elizabeth City,US,46.99,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
477,Bereda,ES,60.01,clear sky,43.2686,-7.5406,Pazo de Verdes
479,Vaxjo,SE,39.0,moderate rain,56.8777,14.8091,Elite Stadshotellet Vaxjo
483,Kursenai,LT,37.4,broken clouds,55.985,22.9189,Namelis Atokvepis
486,Hickory,US,54.0,overcast clouds,35.7332,-81.3412,Crowne Plaza Hickory
495,Rudsar,IR,48.2,broken clouds,37.1376,50.288000000000004,Hotel Bahar
497,Punta Umbria,ES,66.38,overcast clouds,37.1821,-6.9661,Barceló Punta Umbría Beach Resort
499,Lubben,DE,45.0,broken clouds,51.95,13.9,Hotel & Restaurant Spreeblick
506,Bodo,NO,39.2,scattered clouds,67.28,14.405,Clarion Collection Hotel Grand Bod
512,Saint-Francois,FR,48.99,broken clouds,46.4154,3.9054,Manoir Du Bonheur
514,Le Mans,FR,55.4,overcast clouds,48.0,0.2,ibis Styles Le Mans Centre Gare
516,Glen Allen,US,45.0,clear sky,37.666,-77.5064,Courtyard by Marriott Richmond North/Glen Allen
519,Ajdabiya,LY,62.37,clear sky,30.7554,20.2263,Almadina Hotel
523,Brae,GB,42.8,scattered clouds,60.3964,-1.3530000000000002,Busta House Hotel
526,Talcahuano,CL,59.0,overcast clouds,-36.7167,-73.1167,Hotel Terramar
531,Marsa Matruh,EG,64.4,clear sky,31.3525,27.2453,Beau Site
533,Woodlyn,US,36.0,few clouds,39.8723,-75.3371,Wyndham Garden Philadelphia Airport
534,Pianoro,IT,60.01,clear sky,44.393,11.3423,THP Bologna
535,Asti,IT,63.0,clear sky,44.8979,8.2068,Palio
538,Stykkisholmur,IS,35.06,snow,65.0757,-22.7297,Fosshotel Stykkishólmur
543,Kondoa,TZ,68.97,few clouds,-4.9,35.7833,Kinyuma Lodge
546,Andenes,NO,35.6,broken clouds,69.3143,16.1194,Hotell Marena
548,Korla,CN,49.41,clear sky,41.7597,86.1469,Gulisitan Hotel
557,Selma,US,42.8,scattered clouds,36.5708,-119.6121,Holiday Inn Selma-Swancourt
558,Lincoln,US,42.01,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
563,Solano,US,44.01,clear sky,38.2333,-121.9511,Travis AFB FamCamp
564,Warrington,GB,54.0,broken clouds,53.3925,-2.5802,Patten Arms Hotel
567,Shiraz,IR,64.4,clear sky,29.6036,52.5388,Kowsar Hotel
578,San Javier,ES,64.4,few clouds,37.8063,-0.8374,Hotel Mar Menor
584,Villa Rica,US,63.0,overcast clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
589,Salamiyah,SY,57.6,scattered clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
590,Mahon,ES,57.2,few clouds,39.8885,4.2658,ARTIEM Capri
597,Great Yarmouth,GB,48.99,few clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
600,Raudeberg,NO,37.99,overcast clouds,61.9875,5.1352,Nordre Silda.
602,Biograd Na Moru,HR,53.6,few clouds,43.9433,15.4519,Hotel Palma
604,Svetlyy,RU,42.8,scattered clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
605,Clarence Town,AU,60.01,scattered clouds,-32.5833,151.7833,River Downs Cottage
610,Muhos,FI,35.01,broken clouds,64.808,25.9931,Montta - active camping / campsite Montan
612,Biscarrosse,FR,53.6,overcast clouds,44.3945,-1.1672,Saint Hubert
623,Nouadhibou,MR,67.35,clear sky,20.930999999999997,-17.0347,El Medina
624,Martil,MA,62.6,broken clouds,35.6166,-5.2752,فندق مرتيل
627,Edremit,TR,57.2,broken clouds,39.5961,27.0244,My home
