City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kurchum,KZ,2021-03-05 10:54:43,48.5722,83.6542,24.58,95,96,6.53
67,Narasannapeta,IN,2021-03-05 10:54:43,18.4167,84.05,86.11,44,0,17.11
68,Vredendal,ZA,2021-03-05 10:54:46,-31.6683,18.5012,83.77,33,0,2.62
69,Parana,AR,2021-03-05 10:54:46,-31.732,-60.5238,75.0,90,0,3.0
70,Nanortalik,GL,2021-03-05 10:54:48,60.1432,-45.2371,29.84,86,80,4.59
71,Nampula,MZ,2021-03-05 10:54:48,-15.1165,39.2666,77.0,94,90,4.61
72,Saint-Augustin,CA,2021-03-05 10:54:55,51.226,-58.6502,21.92,95,100,7.96
73,Fecamp,FR,2021-03-05 10:54:56,49.7579,0.3746,43.0,70,90,17.27
74,Beloha,MG,2021-03-05 10:55:17,-25.1667,45.05,88.12,54,60,7.23
75,Bodden Town,KY,2021-03-05 10:55:19,19.2833,-81.25,82.0,1,7,1.99
76,Falmouth,GB,2021-03-05 10:55:24,50.1544,-5.0711,42.01,70,75,23.02
77,Antofagasta,CL,2021-03-05 10:55:50,-23.65,-70.4,64.4,77,0,3.44
78,Bubaque,GW,2021-03-05 10:55:50,11.2833,-15.8333,76.3,50,54,5.82
79,Santa Cruz,BO,2021-03-05 10:55:51,-17.8,-63.1667,71.6,94,90,11.5
80,Tasiilaq,GL,2021-03-05 10:55:52,65.6145,-37.6368,32.0,100,90,2.3
81,Lima,PE,2021-03-05 10:55:56,-12.0432,-77.0282,71.6,88,75,9.22
82,Saint-Pierre,RE,2021-03-05 10:54:32,-21.3393,55.4781,87.8,62,75,11.5
83,Port Elizabeth,ZA,2021-03-05 10:56:22,-33.918,25.5701,75.2,57,0,11.5
84,Seydi,TM,2021-03-05 10:56:23,39.4816,62.9137,57.24,21,72,16.28
85,Georgetown,MY,2021-03-05 10:52:50,5.4112,100.3354,89.01,70,20,5.75
86,Naryan-Mar,RU,2021-03-05 10:56:29,67.6713,53.087,-2.52,93,100,10.87
87,Sergach,RU,2021-03-05 10:56:31,55.5308,45.4661,22.21,91,32,8.66
88,Tovuz,AZ,2021-03-05 10:56:33,40.9922,45.6289,48.2,53,40,2.3
89,Victoria,HK,2021-03-05 10:53:09,22.2855,114.1577,70.0,90,100,1.01
90,Kourou,GF,2021-03-05 10:56:34,5.1552,-52.6478,80.01,94,20,9.78
91,Saint George,US,2021-03-05 10:56:35,37.1041,-113.5841,42.8,52,1,3.44
92,San Carlos De Bariloche,AR,2021-03-05 10:56:38,-41.1456,-71.3082,63.0,82,20,6.91
93,Pombia,IT,2021-03-05 10:56:42,45.653,8.6336,57.0,50,0,3.44
94,Mocuba,MZ,2021-03-05 10:56:42,-16.8392,36.9856,81.82,86,98,6.58
95,Muyezerskiy,RU,2021-03-05 10:56:43,63.9333,31.65,18.63,87,96,7.4
96,Bayir,TR,2021-03-05 10:56:44,37.2687,28.2167,66.2,30,0,9.22
97,Comodoro Rivadavia,AR,2021-03-05 10:56:44,-45.8667,-67.5,59.0,82,20,11.5
98,Magaria,NE,2021-03-05 10:56:45,12.9983,8.9099,93.2,6,38,14.88
99,Malaya Serdoba,RU,2021-03-05 10:56:45,52.4661,44.9512,29.95,85,88,10.71
100,Kamyaran,IR,2021-03-05 10:56:49,34.7956,46.9355,50.0,46,75,16.11
101,Roald,NO,2021-03-05 10:56:49,62.5833,6.1333,37.4,75,75,16.11
102,Krasnoselkup,RU,2021-03-05 10:56:56,65.7,82.4667,17.17,93,100,11.16
103,Japura,ID,2021-03-05 10:57:02,-0.3167,102.35,78.12,92,99,2.84
104,Longyearbyen,SJ,2021-03-05 10:57:02,78.2186,15.6401,12.2,73,75,26.46
105,Missungwi,TZ,2021-03-05 10:57:04,-2.85,33.0833,83.1,51,100,3.62
106,Itarema,BR,2021-03-05 10:57:05,-2.9248,-39.9167,81.34,73,87,13.76
107,Phulabani,IN,2021-03-05 10:57:05,20.4667,84.2333,93.04,9,1,8.55
108,Roberval,CA,2021-03-05 10:57:06,48.5168,-72.2324,-0.4,60,75,11.5
109,Wamba,NG,2021-03-05 10:57:07,8.9333,8.6,97.95,15,11,6.8
110,Ilo,PE,2021-03-05 10:57:08,-17.6394,-71.3375,70.99,87,95,5.48
111,Henties Bay,NA,2021-03-05 10:57:10,-22.116,14.2845,76.73,53,74,10.22
112,Ponte De Sor,PT,2021-03-05 10:57:12,39.2496,-8.0101,59.0,88,100,10.45
113,Porto Belo,BR,2021-03-05 10:57:12,-27.1578,-48.5531,78.01,94,0,4.61
114,Antalaha,MG,2021-03-05 10:57:21,-14.9003,50.2788,85.42,71,25,9.51
115,Tres Passos,BR,2021-03-05 10:57:21,-27.4556,-53.9319,68.0,94,41,1.99
116,Barentu,ER,2021-03-05 10:57:21,15.1139,37.5928,92.82,22,0,12.75
117,Lagos,NG,2021-03-05 10:57:23,6.5833,3.75,87.8,74,75,2.3
